car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M2210703695,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:08:18+00:00,2021-11-22T10:30:51+00:00,2021.10.12 ~ 2021.11.22,0.49,40.0,20.19,100.0,0.0263,40.0,74.36,20.0,15.8,100.0,65.73,5.4,60.33
M2210703696,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T14:46:28+00:00,2021-12-08T22:47:39+00:00,2021.10.13 ~ 2021.12.08,0.94,40.0,17.38,100.0,0.0072,96.07,75.13,103.0,15.2,95.63,74.47,5.4,69.07
M2210703697,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:40:44+00:00,2021-10-30T19:26:18+00:00,2021.10.12 ~ 2021.10.30,0.24,40.0,17.44,100.0,0.0059,97.11,72.74,21.0,32.3,100.0,74.98,5.4,69.58
M2210703698,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:43:42+00:00,2021-12-08T23:54:14+00:00,2021.10.12 ~ 2021.12.08,2.02,40.0,12.0,100.0,0.0053,97.52,75.12,57.0,16.5,91.23,73.98,5.4,68.58
M2210703699,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:04:31+00:00,2021-12-08T23:50:05+00:00,2021.10.12 ~ 2021.12.08,0.83,40.0,13.55,100.0,0.0065,96.72,75.56,49.0,23.4,89.8,73.68,5.4,68.28
M2210703700,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T15:20:30+00:00,2021-12-06T13:27:32+00:00,2021.10.13 ~ 2021.12.06,3.56,43.45,21.05,100.0,0.0069,96.32,71.92,30.0,6.2,100.0,75.86,5.4,70.46
M2210703701,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T14:58:17+00:00,2021-12-08T23:09:19+00:00,2021.10.06 ~ 2021.12.08,0.9,40.0,19.12,100.0,0.0124,87.11,90.0,1016.0,18.5,94.54,75.28,5.4,69.88
M2210703702,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T14:22:21+00:00,2021-12-08T23:00:42+00:00,2021.10.13 ~ 2021.12.08,1.67,40.0,16.28,100.0,0.0106,91.2,72.86,158.0,2.6,97.78,73.64,5.4,68.24
M2210703703,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:06:53+00:00,2021-12-08T23:06:37+00:00,2021.10.06 ~ 2021.12.08,1.48,40.0,10.77,100.0,0.0071,96.19,75.24,141.0,12.8,94.33,74.29,5.4,68.89
M2210703705,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T14:23:57+00:00,2021-12-08T22:59:27+00:00,2021.10.13 ~ 2021.12.08,2.43,40.0,17.99,100.0,0.0162,72.25,73.65,196.0,4.3,97.45,70.56,5.4,65.16
M2210703706,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:11:22+00:00,2021-12-08T23:06:28+00:00,2021.10.06 ~ 2021.12.08,3.44,41.9,18.99,100.0,0.0124,87.08,72.54,239.0,2.5,97.91,73.55,5.4,68.15
M2210703733,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:05:30+00:00,2021-12-08T23:38:29+00:00,2021.10.06 ~ 2021.12.08,1.02,40.0,21.67,100.0,0.0159,73.67,79.24,958.0,17.1,84.81,69.62,5.4,64.22
